userId	geneSymbol	geneName	entrezgene	gLink
RYR3	RYR3	ryanodine receptor 3	6263	https://www.ncbi.nlm.nih.gov/gene/?term=6263
S1PR3	S1PR3	sphingosine-1-phosphate receptor 3	1903	https://www.ncbi.nlm.nih.gov/gene/?term=1903
SAMD9L	SAMD9L	sterile alpha motif domain containing 9 like	219285	https://www.ncbi.nlm.nih.gov/gene/?term=219285
SAMHD1	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	25939	https://www.ncbi.nlm.nih.gov/gene/?term=25939
SASH1	SASH1	SAM and SH3 domain containing 1	23328	https://www.ncbi.nlm.nih.gov/gene/?term=23328
SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	6303	https://www.ncbi.nlm.nih.gov/gene/?term=6303
SBK1	SBK1	SH3 domain binding kinase 1	388228	https://www.ncbi.nlm.nih.gov/gene/?term=388228
SCARA3	SCARA3	scavenger receptor class A member 3	51435	https://www.ncbi.nlm.nih.gov/gene/?term=51435
SCARB1	SCARB1	scavenger receptor class B member 1	949	https://www.ncbi.nlm.nih.gov/gene/?term=949
SCARF2	SCARF2	scavenger receptor class F member 2	91179	https://www.ncbi.nlm.nih.gov/gene/?term=91179
SCD5	SCD5	stearoyl-CoA desaturase 5	79966	https://www.ncbi.nlm.nih.gov/gene/?term=79966
