userId	geneSymbol	geneName	entrezgene	gLink
FAM230C	FAM230C	family with sequence similarity 230 member C	26080	https://www.ncbi.nlm.nih.gov/gene/?term=26080
FAM234A	FAM234A	family with sequence similarity 234 member A	83986	https://www.ncbi.nlm.nih.gov/gene/?term=83986
FAM3C	FAM3C	FAM3 metabolism regulating signaling molecule C	10447	https://www.ncbi.nlm.nih.gov/gene/?term=10447
FAM43A	FAM43A	family with sequence similarity 43 member A	131583	https://www.ncbi.nlm.nih.gov/gene/?term=131583
FAM83A	FAM83A	family with sequence similarity 83 member A	84985	https://www.ncbi.nlm.nih.gov/gene/?term=84985
FAM89A	FAM89A	family with sequence similarity 89 member A	375061	https://www.ncbi.nlm.nih.gov/gene/?term=375061
FAM98C	FAM98C	family with sequence similarity 98 member C	147965	https://www.ncbi.nlm.nih.gov/gene/?term=147965
FANCL	FANCL	FA complementation group L	55120	https://www.ncbi.nlm.nih.gov/gene/?term=55120
FANK1	FANK1	fibronectin type III and ankyrin repeat domains 1	92565	https://www.ncbi.nlm.nih.gov/gene/?term=92565
FARSB	FARSB	phenylalanyl-tRNA synthetase subunit beta	10056	https://www.ncbi.nlm.nih.gov/gene/?term=10056
FAS	FAS	Fas cell surface death receptor	355	https://www.ncbi.nlm.nih.gov/gene/?term=355
FAT2	FAT2	FAT atypical cadherin 2	2196	https://www.ncbi.nlm.nih.gov/gene/?term=2196
FBLN1	FBLN1	fibulin 1	2192	https://www.ncbi.nlm.nih.gov/gene/?term=2192
FBP1	FBP1	fructose-bisphosphatase 1	2203	https://www.ncbi.nlm.nih.gov/gene/?term=2203
FBXL13	FBXL13	F-box and leucine rich repeat protein 13	222235	https://www.ncbi.nlm.nih.gov/gene/?term=222235
FBXL16	FBXL16	F-box and leucine rich repeat protein 16	146330	https://www.ncbi.nlm.nih.gov/gene/?term=146330
FBXL22	FBXL22	F-box and leucine rich repeat protein 22	283807	https://www.ncbi.nlm.nih.gov/gene/?term=283807
FBXL7	FBXL7	F-box and leucine rich repeat protein 7	23194	https://www.ncbi.nlm.nih.gov/gene/?term=23194
FBXO16	FBXO16	F-box protein 16	157574	https://www.ncbi.nlm.nih.gov/gene/?term=157574
FBXO36	FBXO36	F-box protein 36	130888	https://www.ncbi.nlm.nih.gov/gene/?term=130888
FBXO41	FBXO41	F-box protein 41	150726	https://www.ncbi.nlm.nih.gov/gene/?term=150726
FBXO48	FBXO48	F-box protein 48	554251	https://www.ncbi.nlm.nih.gov/gene/?term=554251
FBXW4P1	FBXW4P1	F-box and WD repeat domain containing 4 pseudogene 1	26226	https://www.ncbi.nlm.nih.gov/gene/?term=26226
FCHO1	FCHO1	FCH and mu domain containing endocytic adaptor 1	23149	https://www.ncbi.nlm.nih.gov/gene/?term=23149
FCHSD2	FCHSD2	FCH and double SH3 domains 2	9873	https://www.ncbi.nlm.nih.gov/gene/?term=9873
FDPS	FDPS	farnesyl diphosphate synthase	2224	https://www.ncbi.nlm.nih.gov/gene/?term=2224
